507966754;1;00000000;01/17/2019 00:00:00;01/16/2029 00:00:00;1;2222;0300;;ES;;9;13147080215002;0001;;00;0;00;00;0;0;;4.60;;;1.00;;92082.17;24000.00;0.00;0.00;;0.00;0002;;;;;;;
507761858;1;00000000;11/26/2018 00:00:00;11/22/2023 00:00:00;5;2222;0300;;ES;;9;13154090356002;0001;;00;0;00;00;0;0;;4.60;;0.00;1.00;;45496.08;0.00;0.00;0.00;;0.00;0002;;;;;;;
509358912;1;32430233;11/08/2019 00:00:00;10/21/2020 00:00:00;5;2222;0201;;ES;;2;12011580260051;0001;;02;3;22;01;2;0;2.00;4.60;;14.70;;73500.00;39935.21;2100.00;;;16764.79;3.33;0001;;;;;;;5.87
513731781;1;00000000;04/19/2022 00:00:00;10/15/2022 00:00:00;5;2222;0430;;ES;;9;11251580260002;0999;9;00;0;00;00;0;8;;14.70;;;300000.00;;149961.18;3537608.82;0.00;0.00;;0.00;;;;;;;;46.13
513038455;1;58160789;11/03/2021 00:00:00;10/31/2022 00:00:00;5;4444;0800;;ES;;9;12011580260041;0070;9;01;0;00;00;1;0;;7.00;;191.00;;1246440.00;1000000.00;;;;;46.53;0010;4.00;08/29/2022 00:00:00;;06/30/2022 00:00:00;;;7.00
509548764;1;32467086;12/17/2019 00:00:00;12/18/2020 00:00:00;5;2222;0800;;ES;;3;12011580048041;0070;;01;0;00;00;0;0;;7.00;;12.75;;62324.04;30000.00;0.00;;;;5.00;0010;;;;;;;7.83
507377348;1;00000000;09/14/2018 00:00:00;09/15/2019 00:00:00;1;3333;0300;;ES;;3;12011580260051;0050;;02;3;01;01;2;0;;6.00;;18.00;;90180.00;53000.00;0.00;0.00;0.00;;3.00;;;;;;;;
508401636;1;00000000;05/22/2019 00:00:00;05/20/2020 00:00:00;10;2222;0304;;ES;;2;12011580048041;0001;;01;3;01;01;2;0;3.00;4.60;;9.56;;60721.87;31733.78;0.00;0.00;0.00;16843.72;5.10;0001;;;;;;;
507456956;1;32430233;09/25/2018 00:00:00;08/20/2019 00:00:00;5;2222;0201;;ES;;9;22261300190002;0001;;00;0;00;00;0;0;;2.50;;18250.00;4.00;21900.00;16000.00;0.00;;;;0.00;0001;;;;;;;
511102466;2;00000000;10/29/2020 00:00:00;11/28/2021 00:00:00;1;3333;0303;;ES;;3;12011580260051;0050;9;02;3;00;00;2;0;;5.00;;47.50;;252700.00;133290.00;0.00;0.00;0.00;;10.00;;;;;;;;6.28
513667608;1;00000000;04/01/2022 00:00:00;02/10/2029 00:00:00;5;3333;0303;;ES;;9;13121580000002;0999;1;00;0;00;00;0;0;;13.45;;;;;125235.00;0.00;0.00;0.00;;5.50;;;;;;;;13.70
514358385;1;32430233;08/04/2022 00:00:00;08/10/2023 00:00:00;5;2222;0403;;ES;;3;12011580260051;0001;9;02;0;22;00;2;0;;6.00;;17.64;;170520.06;80093.77;0.00;;;;2.93;0001;;07/10/2023 00:00:00;;05/20/2023 00:00:00;;;6.39
509713284;1;00000000;01/30/2020 00:00:00;12/27/2020 00:00:00;10;2222;0300;;ES;;2;12011580260051;0001;;03;3;01;01;2;0;2.00;4.60;;11.02;;52479.00;30073.17;0.00;0.00;0.00;11910.03;2.94;0001;;;;;;;9.21
509868832;1;00000000;03/13/2020 00:00:00;01/07/2027 00:00:00;1;2222;0201;;ES;;9;13144860116002;0001;9;00;0;00;00;0;0;;4.60;;;1.00;;23460.00;0.00;0.00;0.00;;0.00;0002;;;;;;;4.86
511284852;1;00000000;12/07/2020 00:00:00;06/05/2021 00:00:00;1;3333;0402;;ES;;9;11201580260008;0999;9;00;0;00;00;0;8;;7.40;;;12600.00;;50885.10;0.00;0.00;0.00;;0.00;;;;;;;;10.22
509284036;2;07237373;10/24/2019 00:00:00;10/24/2021 00:00:00;5;2222;0502;;ES;;9;13121580000002;0001;;00;0;00;00;0;0;;0.50;;;;;3284.40;;0.00;100.00;;0.25;0056;;;;;;;0.50
510312993;4;00000000;06/26/2020 00:00:00;06/10/2028 00:00:00;4;2222;0201;;ES;;9;13147705000408;0001;9;00;0;00;00;0;0;;4.60;;;1.00;;3672.00;0.00;0.00;0.00;;0.00;0002;;;;;;;
506460854;1;32467086;04/09/2018 00:00:00;03/06/2023 00:00:00;5;2222;0402;;ES;;9;23271300078002;0999;;00;0;00;00;0;0;;8.50;;0.00;29.00;;25000.00;0.00;;;;0.00;;;;;;;;
514503573;1;31815293;08/19/2022 00:00:00;10/02/2023 00:00:00;5;2222;0403;;ES;;3;12011580260051;0001;9;02;0;22;00;2;0;;6.00;;8.28;;76997.13;37500.00;0.00;;;;1.38;0001;;06/30/2023 00:00:00;;04/01/2023 00:00:00;;;6.37
511181647;1;00000000;11/17/2020 00:00:00;10/20/2021 00:00:00;10;2222;0300;00000000;ES;20181165699;2;12011580260051;0001;9;02;3;00;00;2;0;2.00;4.00;5000.00;8.50;;45220.00;18709.88;0.00;0.00;0.00;17466.12;2.00;0001;;;;;;;10.44
509613446;1;00000000;12/30/2019 00:00:00;12/29/2020 00:00:00;10;2222;0300;;ES;;2;12012420000052;0001;;04;3;01;01;2;0;2.00;3.00;;65.00;;41600.00;9966.33;0.00;0.00;0.00;23313.67;1.00;0001;;10/30/2020 00:00:00;02/01/2020 00:00:00;10/01/2020 00:00:00;01/01/2020 00:00:00;;10.82
509129384;1;00815319;09/26/2019 00:00:00;01/21/2021 00:00:00;5;2222;0201;;ES;;3;12011580048041;0001;;01;3;22;01;2;8;;3.00;;22.56;;146640.00;90000.00;287.38;;;;7.50;0001;;;;;;;4.23
506216682;1;00000000;02/06/2018 00:00:00;02/05/2019 00:00:00;10;2222;0300;;ES;;2;12011580260041;0001;;01;3;01;01;2;0;2.50;5.50;;2.61;;18548.75;6829.07;0.00;0.00;0.00;8009.93;1.90;0001;;07/31/2019 00:00:00;09/30/2018 00:00:00;07/01/2019 00:00:00;09/01/2018 00:00:00;;
507175405;1;03358914;08/17/2018 00:00:00;08/31/2026 00:00:00;5;2222;0303;;ES;;9;23271300193002;0999;;00;0;00;00;0;0;;7.00;;;24.00;;120000.00;0.00;;;;0.00;;;;;;;;
514361300;1;00000000;08/04/2022 00:00:00;01/01/2030 00:00:00;4;3333;0300;;ES;;9;13121580000002;0050;9;00;0;00;00;0;0;;8.00;;;;;139480.00;0.00;0.00;0.00;;6.34;;;;;;;;8.17
513761267;1;00000000;04/26/2022 00:00:00;04/11/2024 00:00:00;10;2222;0201;;ES;;9;22311300000408;0001;9;00;0;57;00;0;0;;4.50;;5331.72;12.00;65178.12;36563.69;0.00;0.00;0.00;;4.00;0001;;;;;;;4.70
510894203;1;00000000;09/24/2020 00:00:00;09/28/2021 00:00:00;1;3333;0300;;ES;;3;12011580260051;0050;9;02;3;00;00;2;0;;5.00;;69.00;;366390.00;200000.00;50000.00;0.00;0.00;;9.20;;;;;;;;6.05
511735836;1;00000000;03/23/2021 00:00:00;05/14/2022 00:00:00;10;2222;0300;;ES;;2;12011580260051;0001;9;03;3;00;00;2;0;2.00;4.00;;16.87;;108000.00;50566.23;0.00;0.00;0.00;35833.77;4.50;0001;;;;;;;8.46
513446070;1;00000000;02/03/2022 00:00:00;01/20/2027 00:00:00;1;2222;0300;;ES;;9;13154090356002;0001;9;00;0;00;00;0;0;;4.50;;;1.00;;129540.00;0.00;0.00;0.00;;0.00;0002;;;;;;;5.41
511126875;1;00000000;11/06/2020 00:00:00;11/05/2021 00:00:00;10;2222;0300;;ES;;9;22371300951408;0001;9;00;0;24;00;0;0;;4.00;;4236.70;27.00;31914.81;27257.31;0.00;0.00;0.00;;25.00;0001;;;;;;;5.00
509960556;1;32474884;04/06/2020 00:00:00;03/23/2028 00:00:00;5;2222;0201;;ES;;9;13121160500041;0050;9;00;0;00;00;0;0;;7.00;;;;;256349.55;0.00;;;;13.01;;;;;;;;6.99
506417296;1;00000000;03/27/2018 00:00:00;09/15/2027 00:00:00;4;2222;0300;;ES;;9;23271300193002;0001;;00;0;00;00;0;0;;5.50;;0.00;19.00;;95000.00;0.00;0.00;0.00;;0.00;0002;;;;;;;
514694077;1;00000000;09/15/2022 00:00:00;06/01/2029 00:00:00;1;2222;0300;;ES;;9;13144860116002;0001;9;00;0;00;00;0;0;;6.00;;;1.00;;342400.00;0.00;0.00;0.00;;0.00;0002;;;;;;;6.37
512902115;1;00000000;10/07/2021 00:00:00;11/22/2022 00:00:00;10;2222;0300;;ES;;2;12011580048041;0001;9;01;3;00;00;2;0;3.00;4.50;;2.75;;32615.00;9525.05;0.00;0.00;0.00;16566.95;1.00;0001;;;;;;;14.53
507946852;1;00000000;01/09/2019 00:00:00;12/27/2028 00:00:00;1;2222;0300;;ES;;9;23144860116002;0001;;00;0;00;00;0;0;;4.60;;;2.00;;25591.80;0.00;0.00;0.00;;0.00;0002;;;;;;;
507750703;1;00000000;11/23/2018 00:00:00;12/28/2027 00:00:00;4;2222;0300;;ES;;9;13121580000002;0001;;00;0;00;00;0;0;;4.60;;0.00;;;9252.42;0.00;0.00;0.00;;0.37;0002;;;;;;;
514179526;1;00000000;07/18/2022 00:00:00;07/15/2029 00:00:00;5;3333;0303;;ES;;9;13140857000408;0999;1;00;0;00;00;0;0;;10.50;;;1.00;;190000.00;0.00;0.00;0.00;;0.00;;;;;;;;11.02
513841916;1;00000000;05/13/2022 00:00:00;05/12/2023 00:00:00;10;2222;0201;;ES;;9;22371300190408;0001;9;00;0;00;00;0;0;;3.00;;48267.60;40.00;134002.32;74377.20;0.00;0.00;0.00;;40.00;0001;;;;;;;3.39
